line,reactance,limit
line_7074_7127,0.219823685692845,682.3650487308809
line_7074_7248,0.730368940103141,205.37565573204324
line_7074_7229,0.500807977288037,299.5159957560506
line_7074_7353,0.714800036923618,209.84889794574627
line_7074_7208,0.249286447691529,601.7174274375813
line_7098_7127,0.310945941206462,482.39896432802425
line_7098_7229,0.762831898614317,196.63572049421998
line_7127_7170,0.103680650933132,1446.75017614175
line_7127_7248,0.0213334479015078,7031.212239696066
line_7127_7229,0.0405991832302448,3694.6556079545926
line_7127_7353,0.0472932693499695,3171.6986806304762
line_7127_7201,0.0823358765054379,1821.8060749021504
line_7127_7208,0.0783854272068685,1913.6210051408161
line_7170_7248,0.330890097255275,453.32272329769376
line_7170_7229,0.111630486988099,1343.7189431592428
line_7170_7353,0.342940672337907,437.39343886338946
line_7170_7201,0.138351633353672,1084.1939221386058
line_7170_7208,0.184814503373668,811.624614204232
line_7201_7248,0.184578049310807,812.6643474675486
line_7201_7229,0.117197477295827,1279.891030601057
line_7201_7353,0.354953875516132,422.5901176086265
line_7201_7208,0.225151594867079,666.2177991168766
line_7208_7248,0.265441497067981,565.0962703905494
line_7208_7229,0.13803285079889,1086.6978341159222
line_7208_7353,0.256297597571718,585.2571441214018
line_7229_7248,0.0798036633501238,1879.6129613988114
line_7229_7353,0.198780687071977,754.6004705461459
line_7248_7353,0.276823279705152,541.8619422462117
line_8002_8060,0.352009507656571,426.12485383873104
