line,reactance,limit
line_4040_4075,0.116294922057775,1504.7948517740135
line_4040_4042,0.0399114018717484,4384.711931751892
line_4040_4071,0.365948920567347,478.20881594264483
line_4040_4193,0.134861915208327,1297.6235709664213
line_4040_4194,0.578770374922689,302.36516515444686
line_4040_4147,0.15614200276991,1120.7746595762515
line_4042_4122,0.185570961312642,943.0354768986053
line_4042_4066,0.0210572982447763,8310.657804517368
line_4042_4075,0.37068263822248,472.1019598845273
line_4042_4193,0.432764973566087,404.37653389080475
line_4042_4147,0.579701941861079,301.87927167913017
line_4061_4181,0.0866888541612315,2018.7139591731102
line_4066_4122,0.188771251215045,927.0479422772007
line_4066_4103,0.138004185164618,1268.077484688248
line_4066_4067,0.413591554947643,423.12275941454715
line_4067_4194,0.626928443364903,279.1387148758562
line_4067_4103,0.413569621895355,423.14519910333263
line_4071_4194,0.169380702186888,1033.1755491656418
line_4071_4085,0.497754902383508,351.5786568088219
line_4071_4193,0.0490233168367881,3569.72990184696
line_4079_4122,0.02245594469325,7793.036649783119
line_4085_4181,0.11731079266407,1491.763852462648
line_4085_4193,0.352533976273577,496.4060538215888
line_4085_4194,0.562638472944676,311.03454245512944
line_4101_4147,0.325634681409692,537.4120448178755
line_4103_4171,0.509083476328404,343.75501884706523
line_4122_4194,0.266359927246944,657.0057358431261
line_4126_4171,0.034933571688406,5009.507804152766
line_4147_7406,0.765849816273556,228.5043311122128
line_4147_4190,0.116902513444891,1496.9738018720764
line_4171_4194,0.331137334637321,528.481634943608
line_4181_4193,0.537900652078331,325.33888799695274
line_4181_7406,0.226661893810856,772.0750808957475
line_4181_4194,0.769223936645542,227.50202075503
line_4193_4194,0.435898137229556,401.46994229489025
line_5003_5250,0.028518252453823,6136.420886355554
line_5003_5335,0.485745487845219,360.27097395449834
line_5003_5103,0.0683666562740924,2559.727351567381
line_5003_5224,0.322901177973322,541.9614790456368
line_5003_5203,0.124167633031738,1409.3850041843748
line_5003_5126,0.115900675172565,1509.9135508869276
line_5004_5444,0.768432000005504,227.73648156082325
line_5004_5385,0.738669231032933,236.91253493161645
line_5004_5011,0.320842699138669,545.4386229445246
line_5005_5008,0.513546381119205,340.7676627349824
