Generator,Type,Time,Value
ODESSA,Gas,17,95.5
ODESSA,Gas,18,95.5
ODESSA,Gas,19,95.5
ODESSA,Gas,20,95.5
ODESSA,Gas,21,95.5
ODESSA,Gas,22,95.5
ODESSA,Gas,23,95.5
ODESSA,Gas,24,95.5
SILVER,Gas,1,0.0
SILVER,Gas,2,0.0
SILVER,Gas,3,0.0
SILVER,Gas,4,0.0
SILVER,Gas,5,0.0
SILVER,Gas,6,0.0
SILVER,Gas,7,0.0
SILVER,Gas,8,0.0
SILVER,Gas,9,0.0
SILVER,Gas,10,0.0
SILVER,Gas,11,0.0
SILVER,Gas,12,0.0
SILVER,Gas,13,0.0
SILVER,Gas,14,0.0
SILVER,Gas,15,0.0
SILVER,Gas,16,0.0
SILVER,Gas,17,0.0
SILVER,Gas,18,0.0
SILVER,Gas,19,0.0
SILVER,Gas,20,0.0
SILVER,Gas,21,0.0
SILVER,Gas,22,0.0
SILVER,Gas,23,0.0
SILVER,Gas,24,0.0
ALEDO,Gas,1,4.8
ALEDO,Gas,2,4.8
ALEDO,Gas,3,4.8
ALEDO,Gas,4,4.8
ALEDO,Gas,5,4.8
ALEDO,Gas,6,4.8
ALEDO,Gas,7,4.8
ALEDO,Gas,8,4.8
ALEDO,Gas,9,4.8
ALEDO,Gas,10,4.8
ALEDO,Gas,11,4.8
ALEDO,Gas,12,4.8
ALEDO,Gas,13,4.8
ALEDO,Gas,14,4.8
ALEDO,Gas,15,4.8
ALEDO,Gas,16,4.8
ALEDO,Gas,17,4.8
ALEDO,Gas,18,4.8
ALEDO,Gas,19,4.8
ALEDO,Gas,20,4.8
ALEDO,Gas,21,4.8
ALEDO,Gas,22,4.8
ALEDO,Gas,23,4.8
ALEDO,Gas,24,4.8
GRAHAM,Gas,1,0.0
GRAHAM,Gas,2,0.0
GRAHAM,Gas,3,0.0
GRAHAM,Gas,4,0.0
GRAHAM,Gas,5,0.0
GRAHAM,Gas,6,0.0
GRAHAM,Gas,7,0.0
GRAHAM,Gas,8,0.0
GRAHAM,Gas,9,0.0
GRAHAM,Gas,10,0.0
GRAHAM,Gas,11,0.0
GRAHAM,Gas,12,0.0
GRAHAM,Gas,13,0.0
GRAHAM,Gas,14,0.0
GRAHAM,Gas,15,0.0
GRAHAM,Gas,16,0.0
GRAHAM,Gas,17,0.0
GRAHAM,Gas,18,634.7
GRAHAM,Gas,19,634.7
GRAHAM,Gas,20,634.7
GRAHAM,Gas,21,634.7
GRAHAM,Gas,22,634.7
GRAHAM,Gas,23,634.7
GRAHAM,Gas,24,292.86669669701206
GRANBURY,Gas,1,0.0
GRANBURY,Gas,2,0.0
GRANBURY,Gas,3,0.0
GRANBURY,Gas,4,0.0
GRANBURY,Gas,5,0.0
GRANBURY,Gas,6,0.0
GRANBURY,Gas,7,0.0
GRANBURY,Gas,8,0.0
GRANBURY,Gas,9,0.0
GRANBURY,Gas,10,0.0
GRANBURY,Gas,11,0.0
GRANBURY,Gas,12,0.0
GRANBURY,Gas,13,0.0
GRANBURY,Gas,14,0.0
GRANBURY,Gas,15,0.0
GRANBURY,Gas,16,0.0
GRANBURY,Gas,17,0.0
GRANBURY,Gas,18,172.6423888217733
GRANBURY,Gas,19,627.5298951863324
GRANBURY,Gas,20,769.4045297918606
GRANBURY,Gas,21,747.8251910909344
GRANBURY,Gas,22,485.91358317659655
GRANBURY,Gas,23,110.0381928654859
GRANBURY,Gas,24,0.0
PALOPINTO,Gas,1,0.0
PALOPINTO,Gas,2,0.0
PALOPINTO,Gas,3,0.0
PALOPINTO,Gas,4,0.0
PALOPINTO,Gas,5,0.0
PALOPINTO,Gas,6,0.0
PALOPINTO,Gas,7,0.0
PALOPINTO,Gas,8,0.0
PALOPINTO,Gas,9,436.8583980290534
PALOPINTO,Gas,10,603.6
PALOPINTO,Gas,11,603.6
PALOPINTO,Gas,12,603.6
PALOPINTO,Gas,13,603.6
PALOPINTO,Gas,14,603.6
PALOPINTO,Gas,15,603.6
PALOPINTO,Gas,16,603.6
PALOPINTO,Gas,17,603.6
PALOPINTO,Gas,18,603.6
PALOPINTO,Gas,19,603.6
PALOPINTO,Gas,20,603.6
PALOPINTO,Gas,21,603.6
PALOPINTO,Gas,22,603.6
PALOPINTO,Gas,23,603.6
PALOPINTO,Gas,24,603.6
MONAHANS,Gas,1,0.0
MONAHANS,Gas,2,0.0
MONAHANS,Gas,3,0.0
MONAHANS,Gas,4,0.0
MONAHANS,Gas,5,0.0
MONAHANS,Gas,6,0.0
MONAHANS,Gas,7,0.0
MONAHANS,Gas,8,0.0
MONAHANS,Gas,9,0.0
MONAHANS,Gas,10,0.0
MONAHANS,Gas,11,0.0
