bus_10013,bus_20013,bus_20083,bus_30023,bus_30063,bus_40023,bus_40033,bus_40173,bus_40403,bus_40713,bus_50033,bus_50043,bus_50053,bus_50073,bus_50083,bus_50113,bus_50303,bus_50843,bus_51033,bus_52623,bus_53233,bus_53853,bus_54493,bus_54653,bus_60013,bus_60023,bus_60053,bus_60143,bus_60183,bus_61473,bus_61993,bus_70013,bus_70043,bus_70103,bus_70123,bus_70393,bus_70493,bus_70693,bus_70743,bus_70983,bus_71273,bus_71703,bus_72013,bus_72083,bus_72293,bus_72483,bus_73533,bus_80013,bus_80023,bus_80603
1531.2745578921424,0.0,740.8028086899027,0.0,978.4065214946606,64.9667138025064,0.0,247.43334585503692,726.351295198764,393.5759034568674,0.0,0.0,39.05814457064513,73.23402106995964,0.0,0.0,0.0,0.0,0.0,3366.896687969514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310.6449474925887,0.0,634.0662118975324,0.0,837.435427488569,55.60615812598747,0.0,211.78257218124088,621.6969061821326,336.86856916805635,0.0,0.0,33.430555987567615,62.68229247668929,0.0,0.0,0.0,0.0,0.0,2881.7863589996355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1149.3001643772684,0.0,556.0105373724998,0.0,734.3443213276515,48.760853804723624,0.0,185.7114281680907,545.1639346223509,295.3989199432455,0.0,0.0,29.315142567970117,54.96589231494397,0.0,0.0,0.0,0.0,0.0,2527.0288055012547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032.043781299274,0.0,499.2840297234936,0.0,659.423459292101,43.78606868752606,0.0,166.76437583295248,489.5440425004167,265.26109347172604,0.0,0.0,26.324289792099837,49.3580433601872,0.0,0.0,0.0,0.0,0.0,2269.210816040222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946.11830377972,0.0,457.7148449183019,0.0,604.5214515924496,40.14054615364368,0.0,152.8799758817632,448.7857855534632,243.17609423339655,0.0,0.0,24.1325928779421,45.24861164614144,0.0,0.0,0.0,0.0,0.0,2080.2817933631773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862.2565386023385,0.0,417.1440466477326,0.0,550.9380510646238,36.58257983782399,0.0,139.32904405167233,409.0064387078558,221.62152074096582,0.0,0.0,21.993534972639676,41.2378780736994,0.0,0.0,0.0,0.0,0.0,1895.8903673006469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739.7470695624503,0.0,357.8761914560508,0.0,472.66073440988083,31.38492434737598,0.0,119.53316377191994,350.8947754188589,190.13351964352222,0.0,0.0,18.868691992410408,35.37879748576952,0.0,0.0,0.0,0.0,0.0,1626.5221319117607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655.3224737462943,0.0,317.0331059487662,0.0,418.7177137442845,27.803079062993735,0.0,105.89128609062044,310.8484530910663,168.43428458402818,0.0,0.0,16.715277993783808,31.341146238344646,0.0,0.0,0.0,0.0,0.0,1440.8931794998177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.2960226443445,0.0,295.2501270115479,0.0,389.94810272263305,25.89276157798987,0.0,98.61561799392737,289.49041451624345,156.8613592189647,0.0,0.0,15.566790527849623,29.187732239718045,0.0,0.0,0.0,0.0,0.0,1341.8910715467812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550.4483647213364,0.0,266.2969175074951,0.0,351.7084947396881,23.353631254172235,0.0,88.94504248207282,261.10202157720823,141.47901258790114,0.0,0.0,14.040259271045432,26.325486133210187,0.0,0.0,0.0,0.0,0.0,1210.3007697258704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521.3687817179936,0.0,252.2287436105415,0.0,333.1281209548716,22.11988454510724,0.0,84.24617350295854,247.30828833096854,134.0048316229643,0.0,0.0,13.298527782629604,24.93473959243051,0.0,0.0,0.0,0.0,0.0,1146.3619083395345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522.1192225696927,0.0,252.59179325949515,0.0,333.60761447189907,22.151723169857302,0.0,84.36743463790343,247.6642556405489,134.19771371238204,0.0,0.0,13.317669240395173,24.970629825740954,0.0,0.0,0.0,0.0,0.0,1148.011943472085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497.3546744636204,0.0,240.611154844025,0.0,317.7843284099909,21.101048553105176,0.0,80.36581718472223,235.91733442439642,127.83260476159711,0.0,0.0,12.68600113413137,23.786252126496322,0.0,0.0,0.0,0.0,0.0,1093.5607840979148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455.3299867684673,0.0,220.28037450262116,0.0,290.9326914564496,19.318085567101573,0.0,73.5751936278087,215.98316508789517,117.03120775420453,0.0,0.0,11.614079499259462,21.776399061111494,0.0,0.0,0.0,0.0,0.0,1001.158816675081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469.0255323119771,0.0,226.90603059602506,0.0,299.6834481422019,19.899140468790247,0.0,75.78820934055284,222.47956848773705,120.55130588607801,0.0,0.0,11.96341110348111,22.431395819027088,0.0,0.0,0.0,0.0,0.0,1031.2719578441297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450.82734165827236,0.0,218.10207660889932,0.0,288.05573035428444,19.127053818601187,0.0,72.84762681813939,213.84736123041287,115.87391521769817,0.0,0.0,11.499230752666044,21.561057661248835,0.0,0.0,0.0,0.0,0.0,991.2586058797773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
