Line,Time,Value
line_7039_7101,12,142.37770160039332
line_7039_7101,13,140.35446628220384
line_7039_7101,14,136.8141830507299
line_7039_7101,15,134.46838191800094
line_7039_7101,16,134.81863655767506
line_7039_7101,17,140.65419420724265
line_7039_7101,18,155.82615723529563
line_7039_7101,19,161.4253437338944
line_7039_7101,20,160.77997132633132
line_7039_7101,21,159.1038448336003
line_7039_7101,22,155.08625256396854
line_7039_7101,23,143.6892036256777
line_7039_7101,24,132.0448576870201
line_7246_7410,1,-68.6122823786599
line_7246_7410,2,-68.84664654040927
line_7246_7410,3,-68.914330457392
line_7246_7410,4,-69.09724376026585
line_7246_7410,5,-69.79878579034056
line_7246_7410,6,-71.16018523281397
line_7246_7410,7,-72.7478237322452
line_7246_7410,8,-73.55207707475938
line_7246_7410,9,-74.25509535170575
line_7246_7410,10,-75.29828271274039
line_7246_7410,11,-75.03905664748808
line_7246_7410,12,-74.56392378152096
line_7246_7410,13,-75.60551858094114
line_7246_7410,14,-75.02644058879774
line_7246_7410,15,-74.5027594808823
line_7246_7410,16,-74.50470609174707
line_7246_7410,17,-75.53777039819106
line_7246_7410,18,-78.69038968509267
line_7246_7410,19,-80.10628856418046
line_7246_7410,20,-79.93587864547634
line_7246_7410,21,-79.53953647155284
line_7246_7410,22,-78.6091988356468
line_7246_7410,23,-76.30960660886564
line_7246_7410,24,-73.76954795566816
line_7343_7012,1,20.30574652590724
line_7343_7012,2,20.186458658761758
line_7343_7012,3,20.154599744809673
line_7343_7012,4,20.065229004376775
line_7343_7012,5,19.725431662724382
line_7343_7012,6,19.059990414584643
line_7343_7012,7,18.282050307110822
line_7343_7012,8,17.895117640869792
line_7343_7012,9,17.539681110361073
line_7343_7012,10,17.025970038171142
line_7343_7012,11,16.969451301902176
line_7343_7012,12,17.112554303893212
line_7343_7012,13,17.194493670637943
line_7343_7012,14,17.579420446865306
line_7343_7012,15,17.791247692036833
line_7343_7012,16,17.73846481466983
line_7343_7012,17,17.10006139813642
line_7343_7012,18,15.578801568775505
line_7343_7012,19,16.875852366521073
line_7343_7012,20,16.745002177021785
line_7343_7012,21,16.383785112971374
line_7343_7012,22,15.594022182612239
