UnitID,AliasID,CommercialDT_grp,ID_SK,NERCID_AliasID,RatingMW_grp,RegionCode,StateName,UnitRetireDT_grp,UnitTimeZoneCode,UnitTypeCode,UnitTypeCodeDesc,RatingMW_BrochureGroup
8459,0x0CFD866FCFBBBF4331749498BAAAD2BB,1,14422,0x6ABA6F31BB456000200DE3714A1017DC,3,RFC,Michigan,,EPT,100,Fossil-Steam,800+
9409,0x1776CE1641B628CF8BFA7F7AB1AE955D,2,14667,0x1C159E1B0D29D94368FC338AAA8BA45C,1,NPCC,Massachusetts,,EPT,100,Fossil-Steam,<100
10091,0xD32E4566EAA855A0487CB253B4E488CB,4,14720,0xFE5E1667B4414DFF28B45423F10E8723,1,WECC,Nevada,Retired,PPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
10807,0xD90B1DD8F5C577FC0E575C986D2A981B,4,14799,0xE33E06B8E17C0220AA0B3ED523216C5E,3,WECC,California,,PST,850,Combined Cycle Block,All
10808,0x65987B30D86B5A41E5085D2BC7E27E92,4,14800,0xE33E06B8E17C0220AA0B3ED523216C5E,1,WECC,California,,PST,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
3819,0xF08DADE2FB541E8142432E1E646CC9A3,1,18162,0x6901FA1F94FA174D6A37DA6669498A16,2,RFC,Maryland,Retired,EPT,100,Fossil-Steam,100-199
3824,0xF46FB38DEE6E6A643F86434DD74B9D98,1,18167,0x6901FA1F94FA174D6A37DA6669498A16,3,RFC,Maryland,Retired,EPT,100,Fossil-Steam,600-799
10965,0xB1113487178D88B9BBE32EFAB75EEC6D,1,14827,0x82BABC38FCEE64C06C08DE5D25091452,1,NPCC,New Hampshire,,EPT,500,Pumped Storage/Hydro,30+
11237,0x1203CBF82BE78579B52F23CCC0FAF913,5,14948,0xB1A7E5ACD8F6BB6091C340FE02566C32,1,NPCC,Maine,,EPT,500,Pumped Storage/Hydro,<30
11403,0x2D4AFDB4E00AD931703B888085DD4960,5,15017,0x83530091739F2B83B50ADF7C02054AA7,2,WECC,California,,PPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
11436,0x310B6F199A28CA3F170CABA895E9660D,3,15022,0x8123E49BCD18370B6B0B388B9F476553,1,MRO,Illinois,,CPT,851,CC GT units ,All
11849,0x1CC87184388E31A5A92369FA058A5E82,5,15073,0xACA7783C349A082F7B7AE801309E8A87,1,WECC,Wyoming,,MPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
12007,0x35067025E729F3E554143A4C1B3D05F7,5,15156,0xEDC1F92D55E775EE3C6D34276509DCAC,1,WECC,California,,PPT,100,Fossil-Steam,<100
12159,0x78EB865129BFBCD39AEBA4C69757E8D1,5,15194,0xECA02DC7040102C1BDAD6E3F9AF2FDA7,2,TRE,Texas,,CPT,851,CC GT units ,All
12182,0xC828916B5328B473E53E09F6D655A833,4,15201,0xFF8FAD01EF5F792AC5348C48216818C0,1,RFC,Ohio,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
12185,0xFB46DADE5A17216E242A448CC225FD01,4,15204,0xFF8FAD01EF5F792AC5348C48216818C0,1,RFC,Ohio,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
12197,0xB7E6754F8D986BEC7C2154C8AF0F2B91,4,15216,0xFF8FAD01EF5F792AC5348C48216818C0,3,RFC,Ohio,,EPT,852,CC steam units,All
3356,0x0A41D19D7C24A2646A63712ED9CB9E43,1,15553,0x7A934D0BCD299CBB52A3966013A53769,3,TRE,Texas,,CPT,100,Fossil-Steam,300-399
