Node,Time,Value
bus_50053,47,-0.8086488067296206
bus_50053,48,-0.845833229279176
bus_50073,25,0.08941234909559856
bus_50073,26,0.14813502200563317
bus_50073,27,0.11304939958159395
bus_50073,28,0.07803107077034671
bus_50073,29,0.08287127128505073
bus_50073,30,-0.9109875497188414
bus_50073,31,-1.2738884503560486
bus_50073,32,-1.1944045992474601
bus_50073,33,-1.1370780123254431
bus_50073,34,-1.0924242843974659
bus_50073,35,-1.0431547015233713
bus_50073,36,-0.9858683945656843
bus_50073,37,-0.8853491100943691
bus_50073,38,-0.9060577970192043
bus_50073,39,-0.9154928827756252
bus_50073,40,-0.9829605304978987
bus_50073,41,-0.9752199897287245
bus_50073,42,-0.9213051454120077
bus_50073,43,-0.8952334891050688
bus_50073,44,-0.8693801390299403
bus_50073,45,-0.8416465015849132
bus_50073,46,-0.8707548808362313
bus_50073,47,-0.9771987706545167
bus_50073,48,-1.0017518532399732
bus_50083,25,0.2646791855036759
bus_50083,26,0.33724426448192957
bus_50083,27,0.3217021425374623
bus_50083,28,0.30628870337730574
bus_50083,29,0.3100522423973253
bus_50083,30,-0.6244213008874007
bus_50083,31,-0.9452548594519269
bus_50083,32,-0.908819665816224
bus_50083,33,-0.8718020660231306
bus_50083,34,-0.8433936581742791
bus_50083,35,-0.8193215416179784
bus_50083,36,-0.7865551394719152
bus_50083,37,-0.7291659806919499
bus_50083,38,-0.743980269270981
bus_50083,39,-0.7497409301017685
bus_50083,40,-0.785541963401907
bus_50083,41,-0.7724806122286567
bus_50083,42,-0.7427613000122573
bus_50083,43,-0.7257660880736608
bus_50083,44,-0.7230172190680707
bus_50083,45,-0.7155002567782952
bus_50083,46,-0.7391209326035082
bus_50083,47,-0.7995023793886625
bus_50083,48,-0.8305439646128743
bus_50103,25,0.08485721040226502
bus_50103,26,0.13785600756195784
bus_50103,27,0.09916572033515746
bus_50103,28,0.061830544567489036
bus_50103,29,0.06946527289907381
bus_50103,30,-0.9286370163396656
bus_50103,31,-1.2939227824589339
bus_50103,32,-1.2258302852243919
bus_50103,33,-1.1646791794543838
bus_50103,34,-1.1165310112211981
bus_50103,35,-1.0611345254972722
bus_50103,36,-0.9986158129135189
bus_50103,37,-0.8885685133592071
bus_50103,38,-0.9089356515605185
bus_50103,39,-0.920855417857653
bus_50103,40,-0.9936517034481623
bus_50103,41,-0.9859831467747103
bus_50103,42,-0.9251982181411696
bus_50103,43,-0.8975405062827866
bus_50103,44,-0.8692559796512033
bus_50103,45,-0.8405256179329522
bus_50103,46,-0.874592801278682
bus_50103,47,-0.9916918089439869
bus_50103,48,-1.0175165749692783
bus_50113,25,0.5101962299023939
bus_50113,26,0.6185008232508945
bus_50113,27,0.6043258266257835
bus_50113,28,0.5550305960644899
bus_50113,29,0.49737362663629603
bus_50113,30,-0.5654789952682608
bus_50113,31,-0.8936788628133234
bus_50113,32,-0.8615244380744393
bus_50113,33,-0.7681857034710521
bus_50113,34,-0.6847706094577483
bus_50113,35,-0.6906230530708285
bus_50113,36,-0.6100457130746828
bus_50113,37,-0.5034846882172068
bus_50113,38,-0.534917085995438
bus_50113,39,-0.5295503102374324
bus_50113,40,-0.5948874512345956
bus_50113,41,-0.6202331941991703
bus_50113,42,-0.5493883269578482
bus_50113,43,-0.4869499710149624
bus_50113,44,-0.47687056557092705
bus_50113,45,-0.44509109844952555
bus_50113,46,-0.47496259342927
bus_50113,47,-0.5396075187676068
bus_50113,48,-0.6157585167874784
bus_50163,25,0.08933650476019153
bus_50163,26,0.1499850452978936
bus_50163,27,0.11621623736934397
bus_50163,28,0.08081792717411097
bus_50163,29,0.08242188692197398
bus_50163,30,-0.9121058430741015
bus_50163,31,-1.2737715640332201
bus_50163,32,-1.1919912333478613
bus_50163,33,-1.1341528663977003
bus_50163,34,-1.0890698326900632
bus_50163,35,-1.0409391825469978
bus_50163,36,-0.9830313368955952
bus_50163,37,-0.8823623335323529
bus_50163,38,-0.9033757615653235
bus_50163,39,-0.9123673061891653
bus_50163,40,-0.9790679302406095
bus_50163,41,-0.9725672879582551
bus_50163,42,-0.9196385730158423
bus_50163,43,-0.8931313885026203
bus_50163,44,-0.8673184677811121
bus_50163,45,-0.8388047534970065
bus_50163,46,-0.8664786752784173
bus_50163,47,-0.971368111039176
bus_50163,48,-0.9967626424433087
bus_50223,25,0.14670215523103677
bus_50223,26,0.2113730866712797
bus_50223,27,0.18058328587445416
bus_50223,28,0.1463372081898887
bus_50223,29,0.14459709515543645
bus_50223,30,-0.8455236770605566
bus_50223,31,-1.200721158647309
bus_50223,32,-1.128359016434546
bus_50223,33,-1.0704296902159833
bus_50223,34,-1.0253509528037763
bus_50223,35,-0.9821219545912233
bus_50223,36,-0.9259622888366275
bus_50223,37,-0.829369760901891
bus_50223,38,-0.8505712059459134
bus_50223,39,-0.8584696476876584
bus_50223,40,-0.922117859097382
bus_50223,41,-0.9166796695549908
bus_50223,42,-0.8657956303259807
bus_50223,43,-0.8386750163442612
bus_50223,44,-0.8154686969370446
bus_50223,45,-0.7881897863482332
bus_50223,46,-0.8149064439802589
bus_50223,47,-0.9133233525863002
bus_50223,48,-0.9419245616580239
bus_50303,25,0.09125215138700934
bus_50303,26,0.15697226276220735
bus_50303,27,0.12684382628044807
bus_50303,28,0.09286467415541001
bus_50303,29,0.08999920881031781
bus_50303,30,-0.9012501502760005
bus_50303,31,-1.2594070158284765
bus_50303,32,-1.1900662213435609
bus_50303,33,-1.134740385423426
bus_50303,34,-1.0920321394731203
bus_50303,35,-1.0506427084024097
bus_50303,36,-0.9962617772489634
bus_50303,37,-0.9013430032740257
bus_50303,38,-0.9223953210654174
bus_50303,39,-0.9300391743584291
bus_50303,40,-0.9925398530996877
bus_50303,41,-0.9868434666542675
bus_50303,42,-0.9386220389417659
bus_50303,43,-0.9128194852757975
bus_50303,44,-0.8890371709590409
bus_50303,45,-0.8608734943421473
bus_50303,46,-0.8850191355676003
bus_50303,47,-0.9787308518675926
bus_50303,48,-1.0039257281745986
bus_50373,25,0.1551315687640459
bus_50373,26,0.2126071379738271
bus_50373,27,0.17637698260500825
bus_50373,28,0.13910421763035885
bus_50373,29,0.14250665997963202
bus_50373,30,-0.8543020114659065
bus_50373,31,-1.2130259906017646
bus_50373,32,-1.1460320955395933
bus_50373,33,-1.0794861867133927
bus_50373,34,-1.0275028333509
bus_50373,35,-0.9689457900745907
bus_50373,36,-0.903688001151848
bus_50373,37,-0.7958732970468723
bus_50373,38,-0.8171552489517947
bus_50373,39,-0.8275108248635769
bus_50373,40,-0.8985071796568505
bus_50373,41,-0.8928497924876894
bus_50373,42,-0.8327231069201864
bus_50373,43,-0.8031612653593289
bus_50373,44,-0.7769460685485927
bus_50373,45,-0.7486940794629885
bus_50373,46,-0.7820703781806155
bus_50373,47,-0.907085773200099
bus_50373,48,-0.9408572600770477
bus_50483,25,0.18523614409662428
bus_50483,26,0.24959317276504436
bus_50483,27,0.2174147732325668
bus_50483,28,0.18056803907835423
bus_50483,29,0.1770804509836747
bus_50483,30,-0.820290968078125
bus_50483,31,-1.1757418746440726
bus_50483,32,-1.1095699178524443
bus_50483,33,-1.044965587367426
bus_50483,34,-0.9953021734512371
bus_50483,35,-0.949783824648587
bus_50483,36,-0.88876330175927
bus_50483,37,-0.785296611518626
bus_50483,38,-0.8070806912149517
bus_50483,39,-0.8157178428835202
bus_50483,40,-0.8835299098657673
bus_50483,41,-0.8796637733959861
bus_50483,42,-0.8229641674334465
bus_50483,43,-0.7928876167792221
bus_50483,44,-0.768331561468914
bus_50483,45,-0.7397667977995585
bus_50483,46,-0.7699300499332358
bus_50483,47,-0.8751269516660529
bus_50483,48,-0.9088659904247791
bus_50533,25,0.0798078110471838
bus_50533,26,0.13373328050497885
bus_50533,27,0.09558709066050369
bus_50533,28,0.058415217504424834
bus_50533,29,0.06525611611192347
bus_50533,30,-0.9328469041680332
bus_50533,31,-1.2982235155486201
bus_50533,32,-1.2292003659988175
bus_50533,33,-1.1685621807098254
bus_50533,34,-1.1210397559155096
bus_50533,35,-1.0669501178565934
bus_50533,36,-1.0051801179354096
bus_50533,37,-0.8963744985742356
bus_50533,38,-0.9168341131533039
bus_50533,39,-0.9280331601576188
bus_50533,40,-1.0002005040758724
bus_50533,41,-0.9926147166912277
bus_50533,42,-0.9330263540881921
bus_50533,43,-0.9055872438297244
bus_50533,44,-0.8774220396182725
bus_50533,45,-0.8487826313234494
bus_50533,46,-0.8817296094510947
bus_50533,47,-0.9965268885732743
bus_50533,48,-1.021950439306343
bus_50573,25,0.1921125773767253
bus_50573,26,0.26150734381434093
bus_50573,27,0.23605733848161242
bus_50573,28,0.2098697445795492
bus_50573,29,0.21262743792822683
bus_50573,30,-0.7571158851562254
bus_50573,31,-1.1036006710219857
bus_50573,32,-1.0180700049166158
bus_50573,33,-0.9697529039562122
bus_50573,34,-0.9324698004637771
bus_50573,35,-0.894858471354488
bus_50573,36,-0.8490070475345963
bus_50573,37,-0.7669382310245438
bus_50573,38,-0.7883963060776285
bus_50573,39,-0.7960105502501534
bus_50573,40,-0.8502994982129191
bus_50573,41,-0.8384643161257737
bus_50573,42,-0.7963347416216857
bus_50573,43,-0.7742285957987814
bus_50573,44,-0.7588156836928421
bus_50573,45,-0.7398314041097221
bus_50573,46,-0.7658348062818153
bus_50573,47,-0.8520710950886742
bus_50573,48,-0.8805524111105307
bus_50673,25,0.0770513101196746
bus_50673,26,0.13655953519455724
bus_50673,27,0.10192904376276882
bus_50673,28,0.06561597838551707
bus_50673,29,0.0671615006384166
bus_50673,30,-0.9297800457680555
bus_50673,31,-1.2930904954192994
bus_50673,32,-1.2185334153976684
bus_50673,33,-1.1600373924175493
bus_50673,34,-1.1143288935637934
bus_50673,35,-1.0653332356825291
bus_50673,36,-1.0062466530164056
bus_50673,37,-0.9037781711174191
bus_50673,38,-0.9245946777527407
bus_50673,39,-0.9337877657524877
bus_50673,40,-1.0015517315102702
bus_50673,41,-0.9956637574585434
bus_50673,42,-0.9418714683273478
bus_50673,43,-0.9150098311106492
bus_50673,44,-0.8881305926675819
bus_50673,45,-0.8586771035675868
bus_50673,46,-0.8861413764754812
bus_50673,47,-0.9924348531641317
bus_50673,48,-1.0172044432391618
bus_50843,25,0.09653770217983614
bus_50843,26,0.14937264598836544
bus_50843,27,0.1107517978465006
bus_50843,28,0.07373750137150022
bus_50843,29,0.08189291963584765
bus_50843,30,-0.9150468238824303
bus_50843,31,-1.2794988049649696
bus_50843,32,-1.2093597689790563
bus_50843,33,-1.1485324579119427
bus_50843,34,-1.1007721705145133
bus_50843,35,-1.0468687396959395
bus_50843,36,-0.9851069579361648
bus_50843,37,-0.8758453601961708
bus_50843,38,-0.8962012459089823
bus_50843,39,-0.9074857535502554
bus_50843,40,-0.9800654695773856
bus_50843,41,-0.972143878442555
bus_50843,42,-0.9116198914100069
bus_50843,43,-0.8839776916295176
bus_50843,44,-0.8561061465052164
bus_50843,45,-0.8282706027071653
bus_50843,46,-0.8623701841054964
bus_50843,47,-0.9771925007979911
bus_50843,48,-1.0031861592719367
bus_50903,25,0.058710259386843176
bus_50903,26,0.11597915669950395
bus_50903,27,0.07942063584404041
bus_50903,28,0.04189698647364686
bus_50903,29,0.04488238363718578
