SNYDER,MONAHANS,MONAHANS_2,ODESSA,ODESSA_3,ODESSA_4,SILVER,PALOPINTO,SAVOY,PARIS,GREENVILLE,MOUNTPLEASANT,WICHITAFALLS,DENTON,SHERMAN,PARIS_5,SILVER_6,CHRISTINE,FANNIN,SANTAROSA,BISHOP,CORPUSCHRISTI,GREGORY,CORPUSCHRISTI_7,GREGORY_8,MISSION,MISSION_9,CORPUSCHRISTI_10,CORPUSCHRISTI_11,SANTAROSA_12,LAREDO,LAREDO_13,PEARSALL,BROWNSVILLE,ALEDO,DALLAS,DALLAS_14,GRAHAM,ARLINGTON,IRVING,POOLVILLE,GRANBURY,TEMPLE,MCKINNEY,MIDLOTHIAN,MCKINNEY_15,GRANBURY_16,DALLAS_17,RIESEL,BRIDGEPORT,ENNIS,PALOPINTO_18,LEWSIVILLE,BASTROP,SANANTONIO,MARION,LAGRANGE,WINCHESTER,ROCKDALE,SANANTONIO_19,SEGUIN,ELMENDORF,NURSERY,VICTORIA,POINTCOMFORT,CEDARCREEK,NEWBRAUNFELS,PASADENA,DEERPARK,HOUSTON,MONTBELVIEU,CHANNELVIEW,HOUSTON_20,NURSERY_21,VICTORIA_22,BAYTOWN,FREEPORT,ALVIN,HOUSTON_24,LAPORTE,PASADENA_25,HOUSTON_26,HOUSTON_27,WILLIS,SHIRO,HOUSTON_28,BAYTOWN_29,WHARTON,NEWGULF,THOMPSONS,CHANNELVIEW_30,LAPORTE_31,FREEPORT_32,SHIRO_33,FAIRFIELD,TRINIDAD,FAIRFIELD_34,JEWETT,MTENTERPRISE,FRANKLIN,FRANKLIN_35,BREMOND,JACKSONVILLE,BRYAN
2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,1.9624,2.95,2.95,2.95,2.95,1.9624,1.9624,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,1.9624,1.9624,2.95,1.9624,1.9624,1.9624,1.9624,2.95
3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,1.9624,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,1.9624,1.9624,3.086666667,1.9624,1.9624,1.9624,1.9624,3.086666667
3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,1.9624,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,1.9624,1.9624,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,3.223333333,1.9624,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,3.223333333,1.9624,1.9624,1.9624,3.223333333,1.9624,1.9624,1.9624,1.9624,3.223333333
3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,1.9624,3.36,3.36,3.36,3.36,1.9624,1.9624,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,1.9624,1.9624,3.36,1.9624,1.9624,1.9624,1.9624,3.36
3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,1.9624,3.54,3.54,3.54,3.54,1.9624,1.9624,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,1.9624,1.9624,3.54,1.9624,1.9624,1.9624,1.9624,3.54
3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,3.58,3.58,3.58,3.58,1.9624,1.9624,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,1.9624,3.58,1.9624,1.9624,1.9624,1.9624,3.58
3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,3.58,3.58,3.58,3.58,1.9624,1.9624,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,1.9624,3.58,1.9624,1.9624,1.9624,1.9624,3.58
3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,1.9624,3.13,3.13,3.13,3.13,1.9624,1.9624,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,1.9624,1.9624,3.13,1.9624,1.9624,1.9624,1.9624,3.13
3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,1.9624,3.13,3.13,3.13,3.13,1.9624,1.9624,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,3.13,1.9624,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.9624,1.9624,1.9624,3.13,1.9624,1.9624,1.9624,1.9624,3.13
3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,1.9624,1.9624,3.07,3.07,3.07,3.07,1.9624,1.9624,1.9624,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,1.9624,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,1.9624,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,1.9624,3.07,3.07,3.07,3.07,3.07,3.07,3.07,1.9624,3.07,1.9624,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,1.9624,1.9624,1.9624,3.07,1.9624,1.9624,1.9624,1.9624,3.07
3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,1.9624,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,1.9624,1.9624,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,3.063333333,1.9624,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,3.063333333,1.9624,1.9624,1.9624,3.063333333,1.9624,1.9624,1.9624,1.9624,3.063333333
