name,typ,node,maxcap,losscap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
SANANTONIO,ngcc,bus_6199,247.0,247.0,7.280105518267314,74.1,3,741.0,17290.0,247.0,4,4
MARION,ngcc,bus_6069,1088.22,1088.22,7.754121998007702,326.4599999999999,3,3264.66,76175.40000000001,1088.22,4,4
LAGRANGE,coal,bus_6078,1689.9900000000002,1689.9900000000002,10.922815489878,507.0,4,5069.970000000001,118299.30000000002,557.6967000000001,12,12
WINCHESTER,ngcc,bus_6106,242.0,242.0,7.429591222762333,72.6,3,726.0,16940.0,242.0,4,4
ROCKDALE,coal,bus_6111,1252.1,1252.1,11.043,375.63,4,3756.2999999999997,87647.0,413.193,12,12
SANANTONIO_17,ngcc,bus_6147,3276.4,3276.4,8.943301962535552,982.92,3,9829.2,229348.0,3276.4,4,4
SEGUIN,ngcc,bus_6164,940.2,940.2,7.9315321559222,282.08,3,2820.6000000000004,65814.0,940.2,4,4
ELMENDORF,ngcc,bus_7406,1687.9899999999998,1687.9899999999998,7.851902133457614,506.4,3,5063.969999999999,118159.29999999999,1687.9899999999998,4,4
NURSERY,ngcc,bus_7406,215.2,215.2,7.30609814591958,64.56,3,645.5999999999999,15064.0,215.2,4,4
VICTORIA,ngcc,bus_7406,290.85,290.85,7.63890354239755,87.25,3,872.5500000000001,20359.5,290.85,4,4
POINTCOMFORT,ngcc,bus_7406,1062.5,1062.5,7.599309680235475,318.75,3,3187.5,74375.0,1062.5,4,4
CEDARCREEK,ngcc,bus_6295,618.6899999999999,618.6899999999999,7.836336461125601,185.64,3,1856.0699999999997,43308.299999999996,618.6899999999999,4,4
NEWBRAUNFELS,ngcc,bus_6302,992.2,992.2,7.81210483074896,297.68,3,2976.6000000000004,69454.0,992.2,4,4
PASADENA,ngcc,bus_7400,1273.2,1273.2,8.433053340706001,381.96,3,3819.6000000000004,89124.0,1273.2,4,4
DEERPARK,ngcc,bus_7400,1428.0,1428.0,7.683145218530445,428.4,3,4284.0,99960.0,1428.0,4,4
HOUSTON,ngcc,bus_7400,1904.6,1904.6,7.57897238855714,571.3600000000001,3,5713.799999999999,133322.0,1904.6,4,4
MONTBELVIEU,ngcc,bus_7400,40.7,40.7,7.232775961896,12.21,3,122.10000000000001,2849.0,40.7,4,4
CHANNELVIEW,ngcc,bus_7400,1378.26,1378.26,7.61249071441694,413.4800000000001,3,4134.78,96478.2,1378.26,4,4
HOUSTON_18,ngcc,bus_7124,4.0,4.0,7.1777101403927,1.2,3,12.0,280.0,4.0,4,4
VICTORIA_19,ngcc,bus_7045,188.45,188.45,7.779922778193301,56.53,3,565.3499999999999,13191.5,188.45,4,4
BAYTOWN,ngcc,bus_7422,914.6,914.6,7.910324984433201,274.36,3,2743.8,64022.0,914.6,4,4
FREEPORT,ngcc,bus_7422,497.92,497.92,7.570353389986201,149.36,3,1493.76,34854.4,497.92,4,4
ALVIN,ngcc,bus_7422,1508.9,1508.9,7.613013078299236,452.67,3,4526.700000000001,105623.0,1508.9,4,4
HOUSTON_21,ngcc,bus_7427,8.0,8.0,7.1801043067495005,2.4000000000000004,3,24.0,560.0,8.0,4,4
LAPORTE,ngcc,bus_7138,1459.2,1459.2,7.641699541618349,437.7799999999999,3,4377.6,102144.0,1459.2,4,4
PASADENA_22,ngcc,bus_7138,757.8,757.8,7.659416371247741,227.33,3,2273.3999999999996,53046.0,757.8,4,4
HOUSTON_23,ngcc,bus_7145,10.2,10.2,7.201651802393001,3.06,3,30.599999999999998,714.0,10.2,4,4
HOUSTON_24,ngcc,bus_7389,839.0400000000001,839.0400000000001,7.5081050709802,251.72000000000003,3,2517.1200000000003,58732.8,839.0400000000001,4,4
WILLIS,ngcc,bus_7389,542.8,542.8,8.9302397677742,162.84,3,1628.3999999999999,37996.0,542.8,4,4
SHIRO,ngcc,bus_7389,704.79,704.79,7.931181635446901,211.44,3,2114.37,49335.299999999996,704.79,4,4
HOUSTON_25,ngcc,bus_7170,350.87,350.87,8.3077565667403,105.26,3,1052.6100000000001,24560.9,350.87,4,4
BAYTOWN_26,ngcc,bus_7208,2069.5,2069.5,8.287805182523902,620.8499999999999,3,6208.5,144865.0,2069.5,4,4
WHARTON,ngcc,bus_7311,580.09,580.09,7.54387827273826,174.01,3,1740.27,40606.3,580.09,4,4
NEWGULF,ngcc,bus_7069,101.9,101.9,7.4978843066018,30.57,3,305.70000000000005,7133.0,101.9,4,4
THOMPSONS,ngcc,bus_7353,4786.719999999999,4786.719999999999,8.3641115549846,1435.76,3,14360.159999999998,335070.39999999997,4786.719999999999,4,4
CHANNELVIEW_27,ngcc,bus_7375,183.66,183.66,7.7618866828532,55.1,3,550.98,12856.199999999999,183.66,4,4
LAPORTE_28,ngcc,bus_7283,176.4,176.4,7.455433414266,52.92,3,529.2,12348.0,176.4,4,4
FREEPORT_29,ngcc,bus_7428,1030.82,1030.82,7.471974926278992,309.27,3,3092.46,72157.4,1030.82,4,4
SHIRO_30,ngcc,bus_8033,234.93,234.93,7.931181635446901,70.48,3,704.79,16445.100000000002,234.93,4,4
FAIRFIELD,ngcc,bus_8147,1036.02,1036.02,7.7260988682499,310.8,3,3108.06,72521.4,1036.02,4,4
TRINIDAD,coal,bus_8147,243.3,243.3,10.071850220349,72.99000000000001,4,729.9000000000001,17031.0,80.289,12,12
FAIRFIELD_31,coal,bus_8060,1186.8,1186.8,10.979252898444,356.04,4,3560.3999999999996,83076.0,391.644,12,12
JEWETT,coal,bus_8070,1849.8,1849.8,11.616723915231,554.94,4,5549.4,129486.0,610.434,12,12
MTENTERPRISE,ngcc,bus_8077,939.6,939.6,7.9283259946473,281.88,3,2818.8,65772.0,939.6,4,4
FRANKLIN,coal,bus_8087,897.7,897.7,11.564040361017,269.31,4,2693.1000000000004,62839.0,296.24100000000004,12,12
FRANKLIN_32,coal,bus_8155,897.7,897.7,11.564040361017,269.31,4,2693.1000000000004,62839.0,296.24100000000004,12,12
BREMOND,coal,bus_8155,349.2,349.2,10.173194503755,104.76,4,1047.6,24444.0,115.236,12,12
JACKSONVILLE,coal,bus_8116,713.4,713.4,10.294067547381,214.02,4,2140.2,49938.0,235.422,12,12
BRYAN,ngcc,bus_8158,225.2,225.2,7.4105869179925,67.56,3,675.5999999999999,15764.0,225.2,4,4
bus_1004_WIND,wind,bus_1004,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1033_WIND,wind,bus_1033,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1048_WIND,wind,bus_1048,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1063_WIND,wind,bus_1063,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1064_WIND,wind,bus_1064,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1070_WIND,wind,bus_1070,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1082_WIND,wind,bus_1082,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_2019_WIND,wind,bus_2019,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_2057_WIND,wind,bus_2057,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_2127_WIND,wind,bus_2127,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3006_WIND,wind,bus_3006,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3028_WIND,wind,bus_3028,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3030_WIND,wind,bus_3030,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3034_WIND,wind,bus_3034,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3048_WIND,wind,bus_3048,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3055_WIND,wind,bus_3055,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3060_WIND,wind,bus_3060,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3081_WIND,wind,bus_3081,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3084_WIND,wind,bus_3084,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3098_WIND,wind,bus_3098,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3127_WIND,wind,bus_3127,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_WIND,wind,bus_4002,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4010_WIND,wind,bus_4010,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4020_WIND,wind,bus_4020,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4101_WIND,wind,bus_4101,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4147_WIND,wind,bus_4147,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4153_WIND,wind,bus_4153,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4181_WIND,wind,bus_4181,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4193_WIND,wind,bus_4193,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4194_WIND,wind,bus_4194,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5005_WIND,wind,bus_5005,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5057_WIND,wind,bus_5057,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5175_WIND,wind,bus_5175,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1063_SOLAR,solar,bus_1063,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1082_SOLAR,solar,bus_1082,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_SOLAR,solar,bus_4002,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_6355_SOLAR,solar,bus_6355,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7389_SOLAR,solar,bus_7389,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7400_SOLAR,solar,bus_7400,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7406_SOLAR,solar,bus_7406,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_8116_SOLAR,solar,bus_8116,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_2103_HYDRO,hydro,bus_2103,101.6,101.6,0.0,0.0,1,1.0,1.0,101.6,0,0
bus_4002_HYDRO,hydro,bus_4002,75.6,75.6,0.0,0.0,1,1.0,1.0,75.6,0,0
bus_4030_HYDRO,hydro,bus_4030,2.4,2.4,0.0,0.0,1,1.0,1.0,2.4,0,0
bus_4047_HYDRO,hydro,bus_4047,31.5,31.5,0.0,0.0,1,1.0,1.0,31.5,0,0
bus_5067_HYDRO,hydro,bus_5067,1.3,1.3,0.0,0.0,1,1.0,1.0,1.3,0,0
bus_5307_HYDRO,hydro,bus_5307,2.8,2.8,0.0,0.0,1,1.0,1.0,2.8,0,0
bus_5439_HYDRO,hydro,bus_5439,41.8,41.8,0.0,0.0,1,1.0,1.0,41.8,0,0
bus_6069_HYDRO,hydro,bus_6069,3.6,3.6,0.0,0.0,1,1.0,1.0,3.6,0,0
bus_6164_HYDRO,hydro,bus_6164,10.0,10.0,0.0,0.0,1,1.0,1.0,10.0,0,0
bus_6302_HYDRO,hydro,bus_6302,6.0,6.0,0.0,0.0,1,1.0,1.0,6.0,0,0
bus_6349_HYDRO,hydro,bus_6349,289.5,289.5,0.0,0.0,1,1.0,1.0,289.5,0,0
